"Site ID";Nom;Pays;Vendor;Technologie;"KPI Global (%)";Statut;"KPI Dégradant";"Valeur KPI Dégradant (%)";Date
AC835;BEFLA;CI;Huawei;3G;80.00;critical;"Chute CS";83.33;2026-03-31
AC884;TAKOREAGUI;CI;Huawei;3G;80.00;critical;"Chute CS";93.75;2026-03-31
AC949;PINHOU;CI;Huawei;3G;80.00;critical;"Chute CS";94.12;2026-03-31
AC979;SIPEFCI;CI;Huawei;3G;80.00;critical;"Chute CS";93.75;2026-03-31
ET117;TOUMODI_SAKASSOU;CI;Ericsson;3G;80.00;critical;"Chute CS";66.67;2026-03-31
ET124;KANZRA;CI;Huawei;3G;80.00;critical;"Chute CS";93.75;2026-03-31
ET162;BORON;CI;Huawei;3G;80.00;critical;"Chute CS";90.00;2026-03-31
ET241;LOUKOU_YAOKRO;CI;Huawei;3G;80.00;critical;"Chute CS";75.00;2026-03-31
ET268;GAZIBOUO;CI;Huawei;3G;80.00;critical;"Chute CS";93.75;2026-03-31
ET361;OUARANIERE;CI;Huawei;3G;80.00;critical;"Chute CS";80.00;2026-03-31
ET473;FONDI;CI;Ericsson;3G;80.00;critical;"Chute CS";88.89;2026-03-31
ET673;BANNEU;CI;Huawei;3G;80.00;critical;"Chute CS";83.33;2026-03-31
ET787;OUATTARADOUGOU_PORO;CI;Huawei;3G;80.00;critical;"Chute CS";95.00;2026-03-31
ET861;ZEGA;CI;Huawei;3G;80.00;critical;"Chute CS";94.12;2026-03-31
ET492;ADAHIDOUKOU;CI;Ericsson;3G;80.00;critical;"Chute CS";92.11;2026-03-31
ET988;YOP_NUMBER_ONE_EXT;CI;Ericsson;3G;80.00;critical;"Chute CS";86.05;2026-03-31
ET842;NIPLOU;CI;Ericsson;3G;80.01;critical;"Chute CS";95.01;2026-03-31
IM298;ATTIEKOI;CI;Ericsson;2G;80.57;critical;"Disponibilité TCH";41.30;2026-03-31
AC987;DOKOUIE_CIE;CI;Ericsson;2G;80.58;critical;"Disponibilité TCH";41.32;2026-03-31
AC505;MONT_ZAALA;CI;Huawei;4G;80.64;critical;"ERAB SR";47.85;2026-03-31
AC162;FRESCO;CI;Ericsson;2G;80.70;critical;"Disponibilité TCH";41.67;2026-03-31
AC537;GRABO;CI;Ericsson;3G;80.98;critical;"RRC PS SR";93.22;2026-03-31
AC553;BROFODOUME;CI;Ericsson;2G;81.05;critical;"Disponibilité TCH";42.71;2026-03-31
AC655;AHOUE;CI;Ericsson;2G;81.05;critical;"Disponibilité TCH";42.71;2026-03-31
AC719;MISSION_EPHRATA;CI;Ericsson;2G;81.14;critical;"Disponibilité TCH";48.13;2026-03-31
AC794;DEBLABLAI;CI;Ericsson;3G;81.35;critical;"Chute CS";95.36;2026-03-31
IM430;GBATINA_R;CI;Huawei;4G;81.59;critical;"ERAB SR";62.79;2026-03-31
ET101;TOUMODI_RESIDENTIEL;CI;Ericsson;2G;82.28;critical;"Disponibilité TCH";46.38;2026-03-31
AC378;TERMINUS;CI;Ericsson;2G;82.48;critical;"Disponibilité TCH";46.96;2026-03-31
ET157;KOUAMEFLA;CI;Huawei;3G;82.61;critical;"Chute CS";95.65;2026-03-31
AC377;MATENIN;CI;Ericsson;2G;82.62;critical;"Disponibilité TCH";47.37;2026-03-31
AC630;PALLIER;CI;Ericsson;2G;82.63;critical;"Disponibilité TCH";54.55;2026-03-31
AC374;MATERNITE;CI;Ericsson;2G;82.77;critical;"Disponibilité TCH";47.83;2026-03-31
AC781;GBAPET;CI;Ericsson;3G;82.88;critical;"RRC CS SR";95.24;2026-03-31
AC960;ABOISSO_COMOE;CI;Ericsson;2G;82.98;critical;"Disponibilité TCH";53.55;2026-03-31
AC685;MAHOU;CI;Ericsson;2G;83.05;critical;"Disponibilité TCH";48.65;2026-03-31
ET082;ECG_BIETRY;CI;Ericsson;2G;83.08;critical;"Disponibilité TCH";48.74;2026-03-31
ET076;ZOO;CI;Ericsson;2G;83.14;critical;"Disponibilité TCH";48.94;2026-03-31
ET002;YOP_CSM17;CI;Ericsson;2G;83.36;critical;"Disponibilité TCH";50.00;2026-03-31
AC472;GOUANA;CI;Huawei;4G;83.36;critical;"ERAB SR";49.41;2026-03-31
ET731;ANYAMA_ADJAME;CI;Ericsson;2G;83.37;critical;"Disponibilité TCH";51.72;2026-03-31
