"RAPPORT HEBDOMADAIRE NETINSIGHT 360 — 29/03/2026"

Indicateur;Valeur
"Sites supervisés";2189
"KPI Global moyen";98.21%

"--- ANALYSE DES PIRES SITES ---"
"Site ID";Nom;Technologie;"KPI Global (%)";"KPI Dégradant";"Valeur (%)"
AC492;ZAMBAKRO;2G;60.14;"Disponibilité TCH";12.26
AC127;AC127;2G;66.67;"Disponibilité TCH";0.00
AC288;BOUNA;2G;66.67;"Disponibilité TCH";0.00
AC350;AKOUEDO;2G;66.67;"Disponibilité TCH";0.00
AC412;CNRA;2G;66.67;"Disponibilité TCH";0.00
AC480;TAI;2G;66.67;"Disponibilité TCH";0.00
AC663;BRIDGE_BANK;2G;66.67;"Disponibilité TCH";0.00
AC713;DESCARTE;2G;66.67;"Succès Handover";0.00
AC856;KEIBLY;2G;66.67;"Disponibilité TCH";0.00
AC988;BELLE_EPINE;2G;66.67;"Disponibilité TCH";0.00
AC999;AC999;2G;66.67;"Disponibilité TCH";0.00
ET036;MICRO_TOUR_C;2G;66.67;"Disponibilité TCH";0.00
ET038;MICRO_TOUR_D;2G;66.67;"Disponibilité TCH";0.00
ET040;MICRO_PLTX_PRESIDENCE_2;2G;66.67;"Disponibilité TCH";0.00
ET051;ET051;2G;66.67;"Disponibilité TCH";0.00
ET058;BLANCHON_EXTENSION;2G;66.67;"Disponibilité TCH";0.00
ET089;ET089;2G;66.67;"Disponibilité TCH";0.00
ET101;TOUMODI_RESIDENTIEL;2G;66.67;"Disponibilité TCH";0.00
ET314;FAYA_CITE_PE0ROCI;2G;66.67;"Disponibilité TCH";0.00
ET417;CITE_SIR_CHATEAU;2G;66.67;"Disponibilité TCH";0.00
ET446;BROUKRO;2G;66.67;"Disponibilité TCH";0.00
ET529;PHCIE_RTE_BASSAM;2G;66.67;"Disponibilité TCH";0.00
ET679;GUIMEYO;2G;66.67;"Taux de chute appel";0.00
ET715;BABLY;2G;66.67;"Disponibilité TCH";0.00
ET744;"BINGES_LYS DE PHOENIX";2G;66.67;"Succès Handover";0.00
ET773;ZOGUINE_GANLEU;2G;66.67;"Disponibilité TCH";0.00
ET779;ZEREGBO;2G;66.67;"Disponibilité TCH";0.00
ET787;OUATTARADOUGOU_PORO;2G;66.67;"Disponibilité TCH";0.00
ET839;BORON_PORO;2G;66.67;"Disponibilité TCH";0.00
ET842;NIPLOU;2G;66.67;"Disponibilité TCH";0.00
ET856;KARIE;2G;66.67;"Disponibilité TCH";0.00
ET925;SOKOURALA;2G;66.67;"Taux de chute appel";0.00
ET933;"ANYAMA ANCE_GENDARMERIE";2G;66.67;"Disponibilité TCH";0.00
ET935;"ANYAMA _CITEVERTE";2G;66.67;"Disponibilité TCH";0.00
IM072;RURAL_FOUMBOLO;2G;66.67;"Disponibilité TCH";0.00
