"RAPPORT HEBDOMADAIRE NETINSIGHT 360 — 26/03/2026"

Indicateur;Valeur
"Sites supervisés";2188
"KPI Global moyen";97.99%

"--- ANALYSE DES PIRES SITES ---"
"Site ID";Nom;Technologie;"KPI Global (%)";"KPI Dégradant";"Valeur (%)"
ET127;DJIGBAGUI;2G;44.67;"Disponibilité TCH";0.00
ET124;KANZRA;2G;51.80;"Disponibilité TCH";19.35
IM071;UNIVERSITE_FHB_ENTREE-SUD;2G;55.33;"Taux de chute appel";-33.33
AC890;WALEBO;2G;56.01;"Disponibilité TCH";0.00
AC063;FAYA;2G;64.26;"Disponibilité TCH";45.24
ET480;SEPENEDJOKAHA;3G;65.26;"RRC PS SR";13.83
ET925;SOKOURALA;4G;65.50;"HO Inter-freq";0.00
AC127;AC127;2G;66.67;"Disponibilité TCH";0.00
AC241;BKE_DARESALAM;2G;66.67;"Disponibilité TCH";0.00
AC288;BOUNA;2G;66.67;"Disponibilité TCH";0.00
AC308;DOROPO;2G;66.67;"Disponibilité TCH";0.00
AC430;BKE_DAR_ES_SALAM_II;2G;66.67;"Disponibilité TCH";0.00
AC433;BKE_KOUTCHAKRO;2G;66.67;"Disponibilité TCH";0.00
AC663;BRIDGE_BANK;2G;66.67;"Disponibilité TCH";0.00
AC805;BAC_SEMIEN;2G;66.67;"Succès Handover";0.00
AC968;BOBIA;2G;66.67;"Disponibilité TCH";0.00
AC988;BELLE_EPINE;2G;66.67;"Disponibilité TCH";0.00
AC989;GONZAG_MARCHE;2G;66.67;"Disponibilité TCH";0.00
AC999;AC999;2G;66.67;"Disponibilité TCH";0.00
ET010;TEHINI;2G;66.67;"Disponibilité TCH";0.00
ET036;MICRO_TOUR_C;2G;66.67;"Disponibilité TCH";0.00
ET038;MICRO_TOUR_D;2G;66.67;"Disponibilité TCH";0.00
ET040;MICRO_PLTX_PRESIDENCE_2;2G;66.67;"Disponibilité TCH";0.00
ET051;ET051;2G;66.67;"Disponibilité TCH";0.00
ET058;BLANCHON_EXTENSION;2G;66.67;"Disponibilité TCH";0.00
ET089;ET089;2G;66.67;"Disponibilité TCH";0.00
ET173;KOTOUBA;2G;66.67;"Disponibilité TCH";0.00
ET270;ADDAH;2G;66.67;"Disponibilité TCH";0.00
ET358;ZAKAREKO;2G;66.67;"Disponibilité TCH";0.00
ET383;PHARMACIE_WARF;2G;66.67;"Disponibilité TCH";0.00
ET440;PANZAGANI;2G;66.67;"Disponibilité TCH";0.00
ET441;LATROUGO;2G;66.67;"Disponibilité TCH";0.00
ET443;BANIA;2G;66.67;"Disponibilité TCH";0.00
ET447;NIOLONGO;2G;66.67;"Disponibilité TCH";0.00
ET450;SAYE;2G;66.67;"Disponibilité TCH";0.00
