"Site ID";Nom;Pays;Vendor;Technologie;"KPI Global (%)";Statut;"KPI Dégradant";"Valeur KPI Dégradant (%)";Date
AC492;ZAMBAKRO;CI;Huawei;2G;60.14;critical;"Disponibilité TCH";12.26;2026-03-29
AC127;AC127;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
AC288;BOUNA;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
AC350;AKOUEDO;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
AC412;CNRA;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
AC480;TAI;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
AC663;BRIDGE_BANK;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
AC713;DESCARTE;CI;Ericsson;2G;66.67;critical;"Succès Handover";0.00;2026-03-29
AC856;KEIBLY;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
AC988;BELLE_EPINE;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
AC999;AC999;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET036;MICRO_TOUR_C;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET038;MICRO_TOUR_D;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET040;MICRO_PLTX_PRESIDENCE_2;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET051;ET051;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET058;BLANCHON_EXTENSION;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET089;ET089;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET101;TOUMODI_RESIDENTIEL;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET314;FAYA_CITE_PE0ROCI;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET417;CITE_SIR_CHATEAU;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET446;BROUKRO;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET529;PHCIE_RTE_BASSAM;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET679;GUIMEYO;CI;Huawei;2G;66.67;critical;"Taux de chute appel";0.00;2026-03-29
ET715;BABLY;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET744;"BINGES_LYS DE PHOENIX";CI;Ericsson;2G;66.67;critical;"Succès Handover";0.00;2026-03-29
ET773;ZOGUINE_GANLEU;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET779;ZEREGBO;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET787;OUATTARADOUGOU_PORO;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET839;BORON_PORO;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET842;NIPLOU;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET856;KARIE;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET925;SOKOURALA;CI;Huawei;2G;66.67;critical;"Taux de chute appel";0.00;2026-03-29
ET933;"ANYAMA ANCE_GENDARMERIE";CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET935;"ANYAMA _CITEVERTE";CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
IM072;RURAL_FOUMBOLO;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
IM202;SAKRE;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
IM317;JULES_VERNE_LAURIER15;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
IM347;RURAL_SANGADJOKAHA;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
IM356;IM356;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
IM362;IM362;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
IM390;RURAL_KROFOINSOU;CI;Huawei;2G;66.67;critical;"Succès Handover";0.00;2026-03-29
IM412;RURAL_FARAKO-KORO;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
IM414;RURAL_KENGUEMOUGOUSSO;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-29
ET650;VAAFLA;CI;Huawei;2G;67.95;critical;"Disponibilité TCH";3.81;2026-03-29
ET102;DAL_ABATTOIR_2;CI;Huawei;2G;68.65;critical;"Disponibilité TCH";5.88;2026-03-29
ET794;NEW_TERMINUS_8182;CI;Ericsson;2G;69.90;critical;"Disponibilité TCH";22.00;2026-03-29
AC482;BOUNAFLA;CI;Huawei;2G;70.53;critical;"Disponibilité TCH";11.48;2026-03-29
AC625;INJS;CI;Ericsson;2G;71.75;critical;"Succès Handover";34.09;2026-03-29
AC165;BONOUA;CI;Huawei;2G;72.04;critical;"Disponibilité TCH";16.30;2026-03-29
ET125;KOREGUHE;CI;Huawei;2G;72.98;critical;"Disponibilité TCH";18.75;2026-03-29
AC726;ANGRE_PRGRME6;CI;Ericsson;2G;73.88;critical;"Disponibilité TCH";21.43;2026-03-29
ET025;RESDCE_KIMI3;CI;Ericsson;2G;74.15;critical;"Disponibilité TCH";22.22;2026-03-29
IM298;ATTIEKOI;CI;Ericsson;2G;74.45;critical;"Disponibilité TCH";41.30;2026-03-29
AC931;DABOU_CARR_NGATTY;CI;Ericsson;2G;74.55;critical;"Disponibilité TCH";23.40;2026-03-29
AC364;LOREADE;CI;Ericsson;2G;74.63;critical;"Disponibilité TCH";23.64;2026-03-29
ET558;BONGOUANOU_PLACE_HKB;CI;Ericsson;2G;75.08;critical;"Disponibilité TCH";25.00;2026-03-29
ET118;MARAHUI;CI;Huawei;3G;76.11;critical;"RRC CS SR";81.82;2026-03-29
AC516;BETTIE;CI;Ericsson;2G;76.74;critical;"Disponibilité TCH";29.93;2026-03-29
AC501;BEDIALA;CI;Huawei;2G;77.51;critical;"Disponibilité TCH";32.20;2026-03-29
ET178;PARA;CI;Huawei;2G;77.62;critical;"Disponibilité TCH";32.53;2026-03-29
IM394;RURAL_BONGOFLA;CI;Huawei;3G;78.84;critical;"Chute CS";92.31;2026-03-29
ET131;GBOGUHE;CI;Huawei;3G;79.13;critical;"Chute CS";75.00;2026-03-29
AC494;KASSERE;CI;Huawei;3G;79.23;critical;"Chute CS";93.88;2026-03-29
AC851;NIAZAHON_V16;CI;Huawei;2G;79.42;critical;"Disponibilité TCH";37.88;2026-03-29
AC957;SOGB_SINGHE_3;CI;Ericsson;3G;79.42;critical;"Chute CS";92.86;2026-03-29
AC860;KOUETINFLA;CI;Huawei;3G;79.68;critical;"Chute CS";92.31;2026-03-29
ET268;GAZIBOUO;CI;Huawei;3G;79.72;critical;"Chute CS";92.86;2026-03-29
ET068;COLLEGE_FIGUIER;CI;Ericsson;3G;79.83;critical;"Chute CS";94.59;2026-03-29
ET510;CITE_ATCI_EXT;CI;Ericsson;2G;79.95;critical;"Disponibilité TCH";62.69;2026-03-29
AC002;MARC_ANADER;CI;Ericsson;3G;80.00;critical;"Chute CS";95.00;2026-03-29
AC258;NOE;CI;Ericsson;3G;80.00;critical;"Chute CS";75.00;2026-03-29
AC347;ALLABRA;CI;Ericsson;3G;80.00;critical;"Chute CS";90.91;2026-03-29
AC545;ANOUMABA;CI;Ericsson;3G;80.00;critical;"Chute CS";93.33;2026-03-29
AC584;KOLIA;CI;Huawei;3G;80.00;critical;"Chute CS";88.68;2026-03-29
AC752;KOYEKRO;CI;Ericsson;3G;80.00;critical;"Chute CS";85.71;2026-03-29
AC978;BAGOLIEOUA;CI;Huawei;3G;80.00;critical;"Chute CS";94.74;2026-03-29
ET125;KOREGUHE;CI;Huawei;3G;80.00;critical;"Chute CS";83.33;2026-03-29
ET159;LAMADOUGOU;CI;Huawei;3G;80.00;critical;"Chute CS";94.87;2026-03-29
ET340;AGBAILLE;CI;Ericsson;3G;80.00;critical;"Chute CS";93.55;2026-03-29
ET437;NGORANKRO;CI;Ericsson;3G;80.00;critical;"Chute CS";93.75;2026-03-29
ET477;ALLAKRO_CENTRE;CI;Huawei;3G;80.00;critical;"Chute CS";94.12;2026-03-29
ET628;KOHOUROU;CI;Ericsson;3G;80.00;critical;"Chute CS";90.91;2026-03-29
ET653;DEDIAFLA;CI;Huawei;3G;80.00;critical;"Chute CS";50.00;2026-03-29
ET667;MONOGAGA;CI;Huawei;3G;80.00;critical;"Chute CS";83.33;2026-03-29
ET819;DJIBI_PARIS_VILLAGE;CI;Ericsson;3G;80.00;critical;"Chute CS";94.44;2026-03-29
IM043;SEGUELA_RTE_KANI;CI;Huawei;3G;80.00;critical;"Chute CS";90.91;2026-03-29
IM398;RURAL_ALLUIMINANKRO;CI;Huawei;3G;80.00;critical;"Chute CS";95.00;2026-03-29
AC564;ANDE;CI;Ericsson;2G;80.30;critical;"Disponibilité TCH";40.48;2026-03-29
