"Site ID";Nom;Pays;Vendor;Technologie;"KPI Global (%)";Statut;"KPI Dégradant";"Valeur KPI Dégradant (%)";Date
ET127;DJIGBAGUI;CI;Huawei;2G;44.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET124;KANZRA;CI;Huawei;2G;51.80;critical;"Disponibilité TCH";19.35;2026-03-26
IM071;UNIVERSITE_FHB_ENTREE-SUD;CI;Ericsson;2G;55.33;critical;"Taux de chute appel";-33.33;2026-03-26
AC890;WALEBO;CI;Huawei;2G;56.01;critical;"Disponibilité TCH";0.00;2026-03-26
AC063;FAYA;CI;Ericsson;2G;64.26;critical;"Disponibilité TCH";45.24;2026-03-26
ET480;SEPENEDJOKAHA;CI;Huawei;3G;65.26;critical;"RRC PS SR";13.83;2026-03-26
ET925;SOKOURALA;CI;Huawei;4G;65.50;critical;"HO Inter-freq";0.00;2026-03-26
AC127;AC127;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC241;BKE_DARESALAM;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC288;BOUNA;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC308;DOROPO;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC430;BKE_DAR_ES_SALAM_II;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC433;BKE_KOUTCHAKRO;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC663;BRIDGE_BANK;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC805;BAC_SEMIEN;CI;Huawei;2G;66.67;critical;"Succès Handover";0.00;2026-03-26
AC968;BOBIA;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC988;BELLE_EPINE;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC989;GONZAG_MARCHE;CI;Huawei;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
AC999;AC999;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET010;TEHINI;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET036;MICRO_TOUR_C;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET038;MICRO_TOUR_D;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET040;MICRO_PLTX_PRESIDENCE_2;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET051;ET051;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET058;BLANCHON_EXTENSION;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET089;ET089;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET173;KOTOUBA;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET270;ADDAH;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET358;ZAKAREKO;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
ET383;PHARMACIE_WARF;CI;Ericsson;2G;66.67;critical;"Disponibilité TCH";0.00;2026-03-26
