"Site ID";Nom;Pays;Vendor;Technologie;"KPI Global (%)";Statut;"KPI Dégradant";"Valeur KPI Dégradant (%)";Date
ET172;SIPILOU;CI;Huawei;3G;36.21;critical;"RRC PS SR";4.85;2026-04-19
AC854;KAHIN_ZARABAON;CI;Huawei;3G;36.23;critical;"RRC PS SR";3.15;2026-04-19
ET637;BELLEVILLE;CI;Huawei;3G;36.24;critical;"RRC PS SR";1.97;2026-04-19
AC898;BEHIBO_V15;CI;Huawei;3G;36.24;critical;"RRC PS SR";7.72;2026-04-19
ET843;LEDJEHAN;CI;Huawei;3G;36.26;critical;"RRC PS SR";2.28;2026-04-19
ET170;VAOU;CI;Huawei;3G;36.26;critical;"RRC PS SR";9.40;2026-04-19
ET715;BABLY;CI;Huawei;3G;36.29;critical;"RRC PS SR";1.44;2026-04-19
ET291;KONTROU;CI;Ericsson;3G;36.29;critical;"RRC PS SR";5.51;2026-04-19
ET291;KONTROU;CI;Ericsson;3G;36.29;critical;"RRC PS SR";5.51;2026-04-19
IM133;SINGOUINE;CI;Huawei;3G;36.32;critical;"RRC PS SR";2.34;2026-04-19
AC898;BEHIBO_V15;CI;Huawei;3G;36.34;critical;"RRC PS SR";7.65;2026-04-19
AC898;BEHIBO_V15;CI;Huawei;3G;36.34;critical;"RRC PS SR";7.65;2026-04-19
AC826;BAGOHOUO;CI;Huawei;3G;36.35;critical;"RRC PS SR";6.58;2026-04-19
ET291;KONTROU;CI;Ericsson;3G;36.37;critical;"RRC PS SR";6.25;2026-04-19
AC888;TOBLY_BANGOLO;CI;Huawei;3G;36.39;critical;"RRC PS SR";6.28;2026-04-19
AC854;KAHIN_ZARABAON;CI;Huawei;3G;36.41;critical;"RRC PS SR";5.17;2026-04-19
AC807;Man_BLOKOSS;CI;Huawei;3G;36.42;critical;"RRC PS SR";3.53;2026-04-19
ET186;MANGOUIN;CI;Huawei;3G;36.49;critical;"RRC PS SR";6.53;2026-04-19
AC300;ZOUKOUGBEU;CI;Huawei;3G;36.52;critical;"RRC PS SR";1.27;2026-04-19
AC888;TOBLY_BANGOLO;CI;Huawei;3G;36.52;critical;"RRC PS SR";6.98;2026-04-19
ET167;DOMANGBEU;CI;Huawei;3G;36.53;critical;"RRC PS SR";5.27;2026-04-19
ET630;OUYABLY-GNONDROU;CI;Ericsson;3G;36.54;critical;"RRC CS SR";2.83;2026-04-19
AC949;PINHOU;CI;Huawei;3G;36.54;critical;"RRC CS SR";0.50;2026-04-19
ET630;OUYABLY-GNONDROU;CI;Ericsson;3G;36.54;critical;"RRC CS SR";2.83;2026-04-19
AC949;PINHOU;CI;Huawei;3G;36.54;critical;"RRC CS SR";0.50;2026-04-19
AC907;KOULAYERE;CI;Huawei;3G;36.62;critical;"RRC PS SR";3.65;2026-04-19
ET645;GBETOGO;CI;Huawei;3G;36.68;critical;"RRC PS SR";1.90;2026-04-19
ET645;GBETOGO;CI;Huawei;3G;36.68;critical;"RRC PS SR";1.90;2026-04-19
AC851;NIAZAHON_V16;CI;Huawei;3G;36.70;critical;"RRC CS SR";8.62;2026-04-19
AC851;NIAZAHON_V16;CI;Huawei;3G;36.70;critical;"RRC CS SR";8.62;2026-04-19
AC418;BEOUELAYAN_CIT;CI;Huawei;3G;36.75;critical;"RRC PS SR";8.55;2026-04-19
AC807;Man_BLOKOSS;CI;Huawei;3G;36.76;critical;"RRC PS SR";0.55;2026-04-19
AC807;Man_BLOKOSS;CI;Huawei;3G;36.76;critical;"RRC PS SR";0.55;2026-04-19
AC300;ZOUKOUGBEU;CI;Huawei;3G;36.77;critical;"RRC PS SR";2.81;2026-04-19
AC551;ITY;CI;Huawei;3G;36.80;critical;"RRC PS SR";4.48;2026-04-19
ET283;PEHE;CI;Ericsson;3G;36.83;critical;"RRC CS SR";1.85;2026-04-19
AC888;TOBLY_BANGOLO;CI;Huawei;3G;36.87;critical;"RRC PS SR";7.34;2026-04-19
AC888;TOBLY_BANGOLO;CI;Huawei;3G;36.87;critical;"RRC PS SR";7.34;2026-04-19
AC220;TOUBA;CI;Huawei;3G;36.90;critical;"RRC PS SR";8.11;2026-04-19
AC220;TOUBA;CI;Huawei;3G;36.90;critical;"RRC PS SR";8.11;2026-04-19
ET863;DJIDOUBAYE;CI;Huawei;3G;36.92;critical;"RRC PS SR";2.02;2026-04-19
ET863;DJIDOUBAYE;CI;Huawei;3G;36.92;critical;"RRC PS SR";2.02;2026-04-19
AC826;BAGOHOUO;CI;Huawei;3G;37.00;critical;"RRC CS SR";7.25;2026-04-19
AC826;BAGOHOUO;CI;Huawei;3G;37.00;critical;"RRC CS SR";7.25;2026-04-19
IM409;RURAL_KEITADOUGOU;CI;Huawei;3G;37.01;critical;"RRC CS SR";2.38;2026-04-19
ET213;SAGBOYA_V6;CI;Huawei;3G;37.01;critical;"RRC CS SR";7.35;2026-04-19
AC418;BEOUELAYAN_CIT;CI;Huawei;3G;37.11;critical;"RRC PS SR";6.96;2026-04-19
AC307;TOULEPLEU;CI;Huawei;3G;37.23;critical;"RRC PS SR";9.27;2026-04-19
AC849;SIFIE;CI;Huawei;3G;37.24;critical;"RRC PS SR";8.40;2026-04-19
