id,name,country_code,latitude,longitude,vendor,technology,region,localite,,,,,,,,,,,,,,
IM435,LANDIOUGOU_R,CI,9.78265,-6.2913,ERICSSON,2G,BAGOUE,LANDIOUGOU,,,,,,,,,,,,,,
IM435,LANDIOUGOU_R,CI,9.78265,-6.2913,ERICSSON,2G,BAGOUE,LANDIOUGOU,,,,,,,,,,,,,,
IM435,LANDIOUGOU_R,CI,9.78265,-6.2913,ERICSSON,2G,BAGOUE,LANDIOUGOU,,,,,,,,,,,,,,
IM383,TOTODROU_R,CI,7.286429,-7.387968,HUAWEI,2G,GUEMON,TOTODROU,,,,,,,,,,,,,,
IM450,DIOULABOUGOU-BOLEKO,CI,5.352119,-5.169495,ERICSSON,2G,LOH-DJIBOUA,DIOULABOUGOU-BOLEKO,,,,,,,,,,,,,,
IM450,DIOULABOUGOU-BOLEKO,CI,5.352119,-5.169495,ERICSSON,2G,LOH-DJIBOUA,DIOULABOUGOU-BOLEKO,,,,,,,,,,,,,,
IM450,DIOULABOUGOU-BOLEKO,CI,5.352119,-5.169495,ERICSSON,2G,LOH-DJIBOUA,DIOULABOUGOU-BOLEKO,,,,,,,,,,,,,,
IM450,DIOULABOUGOU-BOLEKO,CI,5.352119,-5.169495,ERICSSON,2G,LOH-DJIBOUA,DIOULABOUGOU-BOLEKO,,,,,,,,,,,,,,
IM450,DIOULABOUGOU-BOLEKO,CI,5.352119,-5.169495,ERICSSON,2G,LOH-DJIBOUA,DIOULABOUGOU-BOLEKO,,,,,,,,,,,,,,
IM450,DIOULABOUGOU-BOLEKO,CI,5.352119,-5.169495,ERICSSON,2G,LOH-DJIBOUA,DIOULABOUGOU-BOLEKO,,,,,,,,,,,,,,
IM071,UNIVERSITE_FHB_ENTREE-SUD,CI,5.337861,-3.984522,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM071,UNIVERSITE_FHB_ENTREE-SUD,CI,5.337861,-3.984522,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM071,UNIVERSITE_FHB_ENTREE-SUD,CI,5.337861,-3.984522,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM071,UNIVERSITE_FHB_ENTREE-SUD,CI,5.337861,-3.984522,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM071,UNIVERSITE_FHB_ENTREE-SUD,CI,5.337861,-3.984522,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM071,UNIVERSITE_FHB_ENTREE-SUD,CI,5.337861,-3.984522,ERICSSON,2G,ABIDJAN,COCODY,,,,,,,,,,,,,,
IM466,ANGOLOKAHA_R,CI,8.520269,-5.176118,HUAWEI,2G,HAMBOL,ANGOLOKAHA,,,,,,,,,,,,,,
IM466,ANGOLOKAHA_R,CI,8.520269,-5.176118,HUAWEI,2G,HAMBOL,ANGOLOKAHA,,,,,,,,,,,,,,
IM466,ANGOLOKAHA_R,CI,8.520269,-5.176118,HUAWEI,2G,HAMBOL,ANGOLOKAHA,,,,,,,,,,,,,,
IM454,GUITRY_CHATEAU,CI,5.510224,-5.243771,ERICSSON,2G,LOH-DJIBOUA,GUITRY,,,,,,,,,,,,,,
IM454,GUITRY_CHATEAU,CI,5.510224,-5.243771,ERICSSON,2G,LOH-DJIBOUA,GUITRY,,,,,,,,,,,,,,
IM454,GUITRY_CHATEAU,CI,5.510224,-5.243771,ERICSSON,2G,LOH-DJIBOUA,GUITRY,,,,,,,,,,,,,,
IM454,GUITRY_CHATEAU,CI,5.510224,-5.243771,ERICSSON,2G,LOH-DJIBOUA,GUITRY,,,,,,,,,,,,,,
IM454,GUITRY_CHATEAU,CI,5.510224,-5.243771,ERICSSON,2G,LOH-DJIBOUA,GUITRY,,,,,,,,,,,,,,
IM454,GUITRY_CHATEAU,CI,5.510224,-5.243771,ERICSSON,2G,LOH-DJIBOUA,GUITRY,,,,,,,,,,,,,,
IM305,TIAZALE,CI,5.198634,-5.959433,ERICSSON,2G,GBOKLE,TIAZALE,,,,,,,,,,,,,,
IM305,TIAZALE,CI,5.198634,-5.959433,ERICSSON,2G,GBOKLE,TIAZALE,,,,,,,,,,,,,,
IM305,TIAZALE,CI,5.198634,-5.959433,ERICSSON,2G,GBOKLE,TIAZALE,,,,,,,,,,,,,,
IM305,TIAZALE,CI,5.198634,-5.959433,ERICSSON,2G,GBOKLE,TIAZALE,,,,,,,,,,,,,,
IM305,TIAZALE,CI,5.198634,-5.959433,ERICSSON,2G,GBOKLE,TIAZALE,,,,,,,,,,,,,,
IM305,TIAZALE,CI,5.198634,-5.959433,ERICSSON,2G,GBOKLE,TIAZALE,,,,,,,,,,,,,,
ET764,DIVO_MILLIONNAIRE,CI,5.844555,-5.338097,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
ET764,DIVO_MILLIONNAIRE,CI,5.844555,-5.338097,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
ET764,DIVO_MILLIONNAIRE,CI,5.844555,-5.338097,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
ET764,DIVO_MILLIONNAIRE,CI,5.844555,-5.338097,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
ET764,DIVO_MILLIONNAIRE,CI,5.844555,-5.338097,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
ET764,DIVO_MILLIONNAIRE,CI,5.844555,-5.338097,ERICSSON,2G,LOH-DJIBOUA,DIVO,,,,,,,,,,,,,,
IM324,YOP_COMPLEXE_LAMA,CI,5.337429,-4.053094,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM324,YOP_COMPLEXE_LAMA,CI,5.337429,-4.053094,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM324,YOP_COMPLEXE_LAMA,CI,5.337429,-4.053094,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM324,YOP_COMPLEXE_LAMA,CI,5.337429,-4.053094,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM324,YOP_COMPLEXE_LAMA,CI,5.337429,-4.053094,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
IM324,YOP_COMPLEXE_LAMA,CI,5.337429,-4.053094,ERICSSON,2G,ABIDJAN,YOPOUGON,,,,,,,,,,,,,,
